epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.612,2.31594,3.20303,1.3003,0.40966,0.42501,0.38845,0.13306,2.27787,1.93175,1.2378,0.000554242,0.000554242,0.000554242
2,385.586,2.29215,1.98241,1.33965,0.44495,0.4604,0.39551,0.13676,2.30363,1.78566,1.24888,0.00108793,0.00108793,0.00108793
3,578.051,2.28789,1.76406,1.34687,0.42649,0.47935,0.41938,0.14215,2.2827,1.83831,1.26709,0.00159962,0.00159962,0.00159962
4,767.152,2.25284,1.68912,1.33188,0.46204,0.47447,0.42767,0.14693,2.31272,1.64534,1.30778,0.00156798,0.00156798,0.00156798
5,957.331,2.23756,1.62995,1.31903,0.43409,0.45468,0.40601,0.14448,2.25863,1.81978,1.26811,0.00153497,0.00153497,0.00153497
6,1142.63,2.2136,1.57476,1.30738,0.56019,0.57269,0.5285,0.18713,2.23627,1.50107,1.23628,0.00150197,0.00150197,0.00150197
7,1332.41,2.19513,1.5557,1.3047,0.5009,0.56593,0.49113,0.17716,2.16907,1.56099,1.20211,0.00146896,0.00146896,0.00146896
8,1520.86,2.16928,1.52099,1.28008,0.50832,0.51878,0.4923,0.1719,2.21582,1.65245,1.22428,0.00143595,0.00143595,0.00143595
9,1706.98,2.17317,1.48234,1.27134,0.53004,0.54043,0.51716,0.18205,2.2357,1.52441,1.24093,0.00140295,0.00140295,0.00140295
10,1893.19,2.15649,1.48231,1.27344,0.5149,0.51608,0.4939,0.18218,2.18748,1.54557,1.22671,0.00136994,0.00136994,0.00136994
11,2080.57,2.14994,1.49582,1.26735,0.56626,0.57747,0.56317,0.21052,2.15331,1.47695,1.19888,0.00133693,0.00133693,0.00133693
12,2266.84,2.1174,1.44064,1.26393,0.52382,0.56468,0.54175,0.20154,2.16401,1.4461,1.21082,0.00130393,0.00130393,0.00130393
13,2453.25,2.12405,1.43851,1.26886,0.54911,0.59983,0.55964,0.20347,2.12314,1.42557,1.19041,0.00127092,0.00127092,0.00127092
14,2638.34,2.10627,1.42208,1.26185,0.54528,0.59856,0.56665,0.20879,2.16875,1.42457,1.19588,0.00123791,0.00123791,0.00123791
15,2823.1,2.09209,1.39682,1.23489,0.5597,0.58059,0.56026,0.20471,2.14305,1.43754,1.20054,0.00120491,0.00120491,0.00120491
16,3008.92,2.11633,1.40321,1.2587,0.55549,0.58141,0.55539,0.20837,2.15331,1.38177,1.18479,0.0011719,0.0011719,0.0011719
17,3195.56,2.09513,1.38091,1.22623,0.60793,0.5901,0.58365,0.22093,2.13818,1.3935,1.19084,0.00113889,0.00113889,0.00113889
18,3381.69,2.07099,1.36397,1.24156,0.57129,0.58447,0.58043,0.22023,2.14084,1.40327,1.19658,0.00110589,0.00110589,0.00110589
19,3568.96,2.08443,1.36918,1.23747,0.61851,0.58773,0.6132,0.23237,2.12829,1.37903,1.18752,0.00107288,0.00107288,0.00107288
20,3755.23,2.08464,1.35367,1.23667,0.55861,0.58184,0.55502,0.21494,2.14151,1.46711,1.19231,0.00103987,0.00103987,0.00103987
21,3942,2.0636,1.35106,1.23311,0.56203,0.59662,0.58601,0.22444,2.10715,1.36374,1.17741,0.00100687,0.00100687,0.00100687
22,4127.41,2.06159,1.34083,1.2244,0.61482,0.5786,0.59886,0.21938,2.11965,1.34919,1.17995,0.000973861,0.000973861,0.000973861
23,4311.48,2.06546,1.34549,1.23033,0.62239,0.62151,0.63269,0.23948,2.10179,1.36351,1.1642,0.000940855,0.000940855,0.000940855
24,4495.93,2.04824,1.33725,1.21385,0.60225,0.59814,0.61582,0.23917,2.10887,1.34788,1.17738,0.000907848,0.000907848,0.000907848
25,4678.25,2.05352,1.33926,1.22358,0.57457,0.57435,0.58275,0.21998,2.10485,1.36747,1.17423,0.000874842,0.000874842,0.000874842
26,4869.23,2.05137,1.33679,1.22721,0.62618,0.62561,0.62776,0.23607,2.1097,1.32463,1.17668,0.000841835,0.000841835,0.000841835
27,5061.06,2.04117,1.30379,1.21883,0.65343,0.60801,0.63208,0.23704,2.10728,1.3261,1.1739,0.000808828,0.000808828,0.000808828
28,5252.72,2.03654,1.29793,1.21897,0.62726,0.61186,0.62574,0.24082,2.09871,1.31933,1.18317,0.000775822,0.000775822,0.000775822
29,5443.7,2.04651,1.29187,1.21009,0.67247,0.62305,0.64716,0.23847,2.10246,1.31063,1.17397,0.000742815,0.000742815,0.000742815
30,5633.1,2.02381,1.29544,1.21095,0.65448,0.59763,0.6401,0.24645,2.08837,1.32131,1.16933,0.000709809,0.000709809,0.000709809
31,5825.02,2.02648,1.29807,1.19798,0.65563,0.61321,0.65039,0.25263,2.07714,1.29982,1.16988,0.000676802,0.000676802,0.000676802
32,6016.42,2.02372,1.28777,1.1986,0.64548,0.62024,0.64754,0.25011,2.06989,1.30349,1.1653,0.000643795,0.000643795,0.000643795
33,6208.41,2.02251,1.26895,1.21486,0.6377,0.63657,0.64085,0.24124,2.08652,1.32898,1.17302,0.000610789,0.000610789,0.000610789
34,6400.94,2.01313,1.29426,1.19975,0.60018,0.63566,0.63065,0.23984,2.08827,1.30057,1.17111,0.000577782,0.000577782,0.000577782
35,6592.19,2.00409,1.24577,1.20222,0.65226,0.61053,0.64494,0.25204,2.06567,1.30037,1.15996,0.000544776,0.000544776,0.000544776
36,6782.65,2.01068,1.25775,1.19874,0.65704,0.62353,0.65967,0.24698,2.07437,1.29015,1.16357,0.000511769,0.000511769,0.000511769
37,6975.45,2.0088,1.24756,1.19956,0.67822,0.60694,0.65296,0.24685,2.08553,1.28544,1.16838,0.000478762,0.000478762,0.000478762
38,7174.43,2.00099,1.24432,1.19954,0.62591,0.63082,0.65021,0.24791,2.09333,1.28107,1.1707,0.000445756,0.000445756,0.000445756
39,7368.12,1.9881,1.23864,1.20573,0.65415,0.63366,0.66448,0.26116,2.06954,1.27525,1.16032,0.000412749,0.000412749,0.000412749
40,7563.37,1.97795,1.21435,1.20142,0.66303,0.638,0.66661,0.25244,2.0783,1.26809,1.16341,0.000379743,0.000379743,0.000379743
41,7755.86,1.96251,1.22209,1.22958,0.64972,0.62609,0.65666,0.25217,2.08116,1.27595,1.16348,0.000346736,0.000346736,0.000346736
42,7940.87,1.94701,1.21479,1.22983,0.66293,0.62854,0.66255,0.25189,2.07548,1.26795,1.1657,0.000313729,0.000313729,0.000313729
43,8128.22,1.94679,1.19978,1.22573,0.69142,0.63255,0.68,0.26416,2.07484,1.2542,1.16507,0.000280723,0.000280723,0.000280723
44,8317.65,1.92918,1.17756,1.21548,0.67305,0.63994,0.67416,0.26296,2.07897,1.25646,1.16301,0.000247716,0.000247716,0.000247716
45,8509.41,1.94762,1.18637,1.22876,0.66057,0.65012,0.6754,0.26343,2.07452,1.25355,1.1652,0.00021471,0.00021471,0.00021471
46,8698.01,1.92034,1.18136,1.21711,0.67102,0.63121,0.66983,0.26618,2.06102,1.25688,1.16111,0.000181703,0.000181703,0.000181703
47,8884.02,1.92021,1.17515,1.21478,0.67035,0.64503,0.6748,0.26665,2.06538,1.25183,1.15986,0.000148696,0.000148696,0.000148696
